Comment,Designator,Footprint,LCSC Part Number
0.1uF,"C2,C3,C4,C5,C6,C11,C12,C13,C14,C15,C16,C17,C26,C27,C28,C29,C30,C31,C32,C33",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C49678
1.0nF 5%,"C44,C45",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C1746
1.0uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C28323
1.40K 1%,"R93,R94",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17369
100K,"R27,R28,R29,R30",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C149504
100K 0.1%,"R35,R36,R37,R38,R39,R40,R41,R42,R75,R76,R77,R78,R79,R80,R81,R82",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C122537
100K 1%,"R99,R100",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C149504
10nF,"C7,C8,C9,C10",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C15850
10uF,"C48,C49",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C15850
1M,"R31,R32,R33,R34",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17514
1uF,"C50,C51",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C28323
2.21K 1%,"R95,R96",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17525
220,"R59,R60,R61,R62,R63,R64,R65,R66,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17557
22pF,"C34,C35,C36,C37,C38,C39,C40,C41",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C1804
24.9K 0.1%,"R67,R68,R69,R70,R71,R72,R73,R74",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17606
3.84K 1%,"R97,R98",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C26014
31.6K 1%,"R101,R102",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17630
4.7K,"R1,R2,R3,R4,R5,R11,R12,R13,R14,R15,R16,R23,R24,R25,R26",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17673
470,"R6,R7,R8,R9,R10,R17,R18,R19,R20,R21,R22",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17710
470pF,"C18,C19,C20,C21,C22,C23,C24,C25",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C1742
47pF,"C46,C47",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C1808
49.9K 0.1%,"R51,R52,R53,R54,R55,R56,R57,R58",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17684
75K 0.1%,"R43,R44,R45,R46,R47,R48,R49,R50",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17719
8.2nF 5%,"C42,C43",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C541502
LM339,U1,SOIC-14_3.9x8.7mm_P1.27mm_shiftedpads,C74559
LM833,U11,SOIC-8_3.9x4.9mm_P1.27mm_shiftedpads,C7969
MCP6002,"U2,U3,U4,U5",SOIC-8_3.9x4.9mm_P1.27mm_shiftedpads,C116706
MCP6022,U10,SOIC-8_3.9x4.9mm_P1.27mm_shiftedpads,C34047
OPA2172,"U6,U7,U8,U9",SOIC-8_3.9x4.9mm_P1.27mm_shiftedpads,C545167
