Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1.0uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,45.085mm,-31.7539mm,-90.0,bottom
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,41.275mm,-34.9211mm,-90.0,bottom
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,41.275mm,-40.0011mm,-90.0,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,60.96mm,-34.2861mm,-90.0,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,58.42mm,-39.3739mm,-90.0,bottom
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,50.8mm,-55.8839mm,90.0,bottom
C7,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,38.735mm,-45.0889mm,90.0,bottom
C8,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,41.275mm,-45.0811mm,90.0,bottom
C9,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,58.42mm,-44.4461mm,90.0,bottom
C10,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,63.5mm,-39.3661mm,90.0,bottom
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,33.655mm,-66.1123mm,-90.0,bottom
C12,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,67.9704mm,-66.0361mm,-90.0,bottom
C13,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,50.8215mm,-68.58mm,180.0,bottom
C14,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,33.655mm,-77.4661mm,90.0,bottom
C15,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,67.945mm,-77.4661mm,90.0,bottom
C16,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,38.1039mm,-97.79mm,180.0,bottom
C17,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,63.5039mm,-97.79mm,180.0,bottom
C18,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,31.115mm,-81.915mm,90.0,bottom
C19,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,45.085mm,-81.9189mm,90.0,bottom
C20,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,56.515mm,-81.9189mm,90.0,bottom
C21,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,70.485mm,-81.9189mm,90.0,bottom
C22,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,32.385mm,-92.7139mm,90.0,bottom
C23,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,43.815mm,-92.7061mm,90.0,bottom
C24,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,57.785mm,-92.7139mm,90.0,bottom
C25,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,69.215mm,-92.7139mm,90.0,bottom
C26,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,50.8mm,-81.9111mm,-90.0,bottom
C27,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,38.7389mm,-109.22mm,180.0,bottom
C28,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,38.1mm,-113.0261mm,-90.0,bottom
C29,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,62.865mm,-109.22mm,0.0,bottom
C30,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,63.5mm,-113.0261mm,-90.0,bottom
C31,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,39.3661mm,-131.445mm,0.0,bottom
C32,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,61.5911mm,-125.73mm,0.0,bottom
C33,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,52.07mm,-131.3219mm,90.0,bottom
C34,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,32.385mm,-104.7711mm,-90.0,bottom
C35,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,46.355mm,-104.7711mm,-90.0,bottom
C36,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,57.785mm,-104.7711mm,-90.0,bottom
C37,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,71.755mm,-104.7711mm,-90.0,bottom
C38,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,32.385mm,-118.7489mm,90.0,bottom
C39,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,46.355mm,-118.7489mm,90.0,bottom
C40,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,57.785mm,-118.7489mm,90.0,bottom
C41,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,71.755mm,-118.7489mm,90.0,bottom
C42,8.2nF 5%,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,69.215mm,-126.3689mm,90.0,bottom
C43,8.2nF 5%,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,69.215mm,-130.8139mm,90.0,bottom
C44,1.0nF 5%,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,51.4389mm,-119.38mm,180.0,bottom
C45,1.0nF 5%,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,66.0439mm,-130.81mm,180.0,bottom
C46,47pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,32.385mm,-130.1789mm,90.0,bottom
C47,47pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,35.5561mm,-125.73mm,0.0,bottom
C48,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,49.53mm,-131.3141mm,-90.0,bottom
C49,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,74.295mm,-124.7179mm,90.0,bottom
C50,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,27.305mm,-124.4561mm,-90.0,bottom
C51,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,40.0011mm,-119.38mm,0.0,bottom
R1,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,36.195mm,-34.925mm,-90.0,bottom
R2,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,36.195mm,-39.989mm,-90.0,bottom
R3,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,66.04mm,-34.274mm,-90.0,bottom
R4,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,58.4454mm,-34.2994mm,-90.0,bottom
R5,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,53.34mm,-55.8894mm,-90.0,bottom
R6,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,38.735mm,-34.909mm,90.0,bottom
